AB,C,D,E,F,G,H,I,J,K,L
0x04A9910000,"0x0317","0x0004","0x0000","0x0000","B","0x2991","0x0000","0x0000","0x0051","0x0214","0x0F27"
0x04A9890000,"0x0318","0x0004","0x0000","0x0000","B","0x2989","0x0000","0x0000","0x0051","0x020C","0x0F1F"
0x04A9900000,"0x0319","0x0004","0x0000","0x0000","B","0x2990","0x0000","0x0000","0x0051","0x0213","0x0F26"
0x04A9920000,"0x031A","0x0004","0x0000","0x0000","B","0x2992","0x0000","0x0000","0x0051","0x0215","0x0F28"
0x04A9930000,"0x031B","0x0004","0x0000","0x0000","B","0x2993","0x0000","0x0000","0x0051","0x0216","0x0F29"
0x04A9940000,"0x031C","0x0004","0x0000","0x0000","B","0x2994","0x0000","0x0000","0x0051","0x0217","0x0F2A"
0x04A9950000,"0x031D","0x0004","0x0000","0x0000","B","0x2995","0x0000","0x0000","0x0051","0x0218","0x0F2B"
0x04A9960000,"0x031E","0x0004","0x0000","0x0000","B","0x2996","0x0000","0x0000","0x0051","0x0219","0x0F2C"
0x04A9970000,"0x031F","0x0004","0x0000","0x0000","B","0x2997","0x0000","0x0000","0x0051","0x021A","0x0F2D"
0x04A9980000,"0x0320","0x0004","0x0000","0x0000","B","0x2998","0x0000","0x0000","0x0051","0x021B","0x0F2E"
0x04A9990000,"0x0321","0x0004","0x0000","0x0000","B","0x2999","0x0000","0x0000","0x0051","0x021C","0x0F2F"
0x0492160000,"0x0322","0x0004","0x0000","0x0000","B","0x1216","0x0000","0x0000","0x0051","0x01B3","0x0616"
0x0492170000,"0x0323","0x0004","0x0000","0x0000","B","0x1217","0x0000","0x0000","0x0051","0x01B4","0x0617"
0x0492180000,"0x0324","0x0004","0x0000","0x0000","B","0x1218","0x0000","0x0000","0x0051","0x01B5","0x0618"
0x0492190000,"0x0325","0x0004","0x0000","0x0000","B","0x1219","0x0000","0x0000","0x0051","0x01B6","0x0619"
0x0492200000,"0x0326","0x0004","0x0000","0x0000","B","0x1220","0x0000","0x0000","0x0051","0x01BC","0x062C"
0x04A9860000,"0x0327","0x0004","0x0000","0x0000","B","0x2986","0x0000","0x0000","0x0051","0x0209","0x0F1C"
0x04A9670000,"0x0328","0x0004","0x0000","0x0000","B","0x2967","0x0000","0x0000","0x0051","0x01E8","0x0EFB"
0x04A9680000,"0x0329","0x0004","0x0000","0x0000","B","0x2968","0x0000","0x0000","0x0051","0x01E9","0x0EFC"
0x0492090000,"0x032A","0x0004","0x0000","0x0000","B","0x1209","0x0000","0x0000","0x0051","0x01AC","0x05F9"
0x0492130000,"0x032B","0x0004","0x0000","0x0000","B","0x1213","0x0000","0x0000","0x0051","0x01B0","0x0613"
0x0492140000,"0x032C","0x0004","0x0000","0x0000","B","0x1214","0x0000","0x0000","0x0051","0x01B1","0x0614"
0x0492150000,"0x032D","0x0004","0x0000","0x0000","B","0x1215","0x0000","0x0000","0x0051","0x01B2","0x0615"
0x04A9690000,"0x032E","0x0004","0x0000","0x0000","B","0x2969","0x0000","0x0000","0x0051","0x01EA","0x0EFD"
0x04A9700000,"0x032F","0x0004","0x0000","0x0000","B","0x2970","0x0000","0x0000","0x0051","0x01F2","0x0F05"
0x04A9650000,"0x0330","0x0004","0x0000","0x0000","B","0x2965","0x0000","0x0000","0x0051","0x01E6","0x0EF9"
0x04921A0000,"0x0331","0x0004","0x0000","0x0000","B","0x121A","0x0000","0x0000","0x0051","0x01B7","0x061A"
0x04921B0000,"0x0332","0x0004","0x0000","0x0000","B","0x121B","0x0000","0x0000","0x0051","0x01B8","0x061B"
0x04D2800000,"0x0333","0x0004","0x0000","0x0000","U","0x1280","0x0000","0x0000","0x0051","0x023F","0xACD1"
0x04C1550000,"0x0334","0x0004","0x0000","0x0000","U","0x0155","0x0000","0x0000","0x0051","0x023C","0xABB6"
0x04921C0000,"0x0335","0x0004","0x0000","0x0000","B","0x121C","0x0000","0x0000","0x0051","0x01B9","0x061C"
0x04921D0000,"0x0336","0x0004","0x0000","0x0000","B","0x121D","0x0000","0x0000","0x0051","0x01BA","0x061D"
0x04924A0000,"0x0337","0x0004","0x0000","0x0000","B","0x124A","0x0000","0x0000","0x0051","0x01CB","0x0672"
0x04924B0000,"0x0338","0x0004","0x0000","0x0000","B","0x124B","0x0000","0x0000","0x0051","0x01CC","0x0673"
0x04924C0000,"0x0339","0x0004","0x0000","0x0000","B","0x124C","0x0000","0x0000","0x0051","0x01CD","0x0674"
0x04924D0000,"0x033A","0x0004","0x0000","0x0000","B","0x124D","0x0000","0x0000","0x0051","0x01CE","0x0675"
0x04924E0000,"0x033B","0x0004","0x0000","0x0000","B","0x124E","0x0000","0x0000","0x0051","0x01CF","0x0676"
0x04924F0000,"0x033C","0x0004","0x0000","0x0000","B","0x124F","0x0000","0x0000","0x0051","0x01D0","0x0677"
0x04D2820000,"0x033D","0x0004","0x0000","0x0000","U","0x1282","0x0000","0x0000","0x0051","0x0241","0xAD28"
0x04D2900000,"0x033E","0x0004","0x0000","0x0000","U","0x1290","0x0000","0x0000","0x0051","0x0243","0xAD82"
0x04D28D0000,"0x033F","0x0004","0x0000","0x0000","U","0x128D","0x0000","0x0000","0x0051","0x0242","0xAD57"
0x04D2810000,"0x0340","0x0004","0x0000","0x0000","U","0x1281","0x0000","0x0000","0x0051","0x0240","0xAD05"
0x04922A0000,"0x0341","0x0004","0x0000","0x0000","B","0x122A","0x0000","0x0000","0x0051","0x01BF","0x0636"
0x04922B0000,"0x0342","0x0004","0x0000","0x0000","B","0x122B","0x0000","0x0000","0x0051","0x01C0","0x0637"
