AB,C,D,E,F,G,H,I,J,K,L
0x1E09820100,"0x0E3B","0x001E","0x003C","0x0003","P","0x0982","0x0000","0x0001","0x0069","0x1323","0x1903"
0x1E09830000,"0x0E3C","0x001E","0x003C","0x0004","P","0x0983","0x0000","0x0000","0x006A","0x1324","0x1906"
0x1E09830100,"0x0E3D","0x001E","0x003C","0x0004","P","0x0983","0x0000","0x0001","0x006A","0x1324","0x1906"
0x1E09850000,"0x0E3E","0x001E","0x003D","0x0003","P","0x0985","0x0000","0x0000","0x006C","0x1325","0x1932"
0x1E09850100,"0x0E3F","0x001E","0x003D","0x0003","P","0x0985","0x0000","0x0001","0x006C","0x1325","0x1932"
0x1E09860000,"0x0E40","0x001E","0x003D","0x0004","P","0x0986","0x0000","0x0000","0x006D","0x1326","0x1935"
0x1E09860100,"0x0E41","0x001E","0x003D","0x0004","P","0x0986","0x0000","0x0001","0x006D","0x1326","0x1935"
0x1E17170000,"0x0E42","0x001E","0x003E","0x0001","P","0x1717","0x0000","0x0000","0x006F","0x1327","0x1953"
0x1E17170100,"0x0E43","0x001E","0x003E","0x0001","P","0x1717","0x0000","0x0001","0x006F","0x1327","0x1953"
0x1E07310000,"0x0E44","0x001E","0x0040","0x0001","P","0x0731","0x0000","0x0000","0x0072","0x1329","0x1995"
0x1E07310100,"0x0E45","0x001E","0x0040","0x0001","P","0x0731","0x0000","0x0001","0x0072","0x1329","0x1995"
0x1E07320000,"0x0E46","0x001E","0x0040","0x0002","P","0x0732","0x0000","0x0000","0x0073","0x132A","0x199B"
0x1E07320100,"0x0E47","0x001E","0x0040","0x0002","P","0x0732","0x0000","0x0001","0x0073","0x12EA","0x199B"
0x1E07330000,"0x0E48","0x001E","0x0040","0x0003","P","0x0733","0x0000","0x0000","0x0074","0x132B","0x199E"
0x1E07330100,"0x0E49","0x001E","0x0040","0x0003","P","0x0733","0x0000","0x0001","0x0074","0x132B","0x199E"
0x1E07340000,"0x0E4A","0x001E","0x0040","0x0004","P","0x0734","0x0000","0x0000","0x0075","0x132C","0x19A1"
0x1E07340100,"0x0E4B","0x001E","0x0040","0x0004","P","0x0734","0x0000","0x0001","0x0075","0x132C","0x19A1"
0x1E07350000,"0x0E4C","0x001E","0x0040","0x0005","P","0x0735","0x0000","0x0000","0x0076","0x132D","0x19A3"
0x1E07350100,"0x0E4D","0x001E","0x0040","0x0005","P","0x0735","0x0000","0x0001","0x0076","0x132D","0x19A3"
0x1E07290000,"0x0E4E","0x001E","0x0040","0x0006","P","0x0729","0x0000","0x0000","0x00AD","0x132E","0x19A5"
0x1E07290100,"0x0E4F","0x001E","0x0040","0x0006","P","0x0729","0x0000","0x0001","0x00AD","0x132E","0x19A5"
0x1E08120000,"0x0E50","0x001E","0x0041","0x0002","P","0x0812","0x0000","0x0000","0x0077","0x132F","0x19BE"
0x1E08120100,"0x0E51","0x001E","0x0041","0x0002","P","0x0812","0x0000","0x0001","0x0077","0x132F","0x19BE"
0x1E27200000,"0x0E52","0x001E","0x0042","0x0003","P","0x2720","0x0000","0x0000","0x00A9","0x1330","0x19DD"
0x1E27200100,"0x0E53","0x001E","0x0042","0x0003","P","0x2720","0x0000","0x0001","0x00A9","0x1330","0x19DD"
0x1E27210000,"0x0E54","0x001E","0x0042","0x0004","P","0x2721","0x0000","0x0000","0x00AA","0x1331","0x19DE"
0x1E27210100,"0x0E55","0x001E","0x0042","0x0004","P","0x2721","0x0000","0x0001","0x00AA","0x1331","0x19DE"
0x1E28260000,"0x0E56","0x001E","0x0043","0x0003","P","0x2826","0x0000","0x0000","0x00AB","0x1332","0x19EC"
0x1E28260100,"0x0E57","0x001E","0x0043","0x0003","P","0x2826","0x0000","0x0001","0x00AB","0x1332","0x19EC"
0x1E28270000,"0x0E58","0x001E","0x0043","0x0004","P","0x2827","0x0000","0x0000","0x00AC","0x1333","0x19ED"
0x1E28270100,"0x0E59","0x001E","0x0043","0x0004","P","0x2827","0x0000","0x0001","0x00AC","0x1333","0x19ED"
0x1E17180000,"0x0E5A","0x001E","0x0044","0x0001","P","0x1718","0x0000","0x0000","0x0070","0x1334","0x19F3"
0x1E17180100,"0x0E5B","0x001E","0x0044","0x0001","P","0x1718","0x0000","0x0001","0x0070","0x1334","0x19F3"
0x1E28200000,"0x0E5C","0x001E","0x0045","0x0003","P","0x2820","0x0000","0x0000","0x00A2","0x1370","0x029E"
0x1E28200100,"0x0E5D","0x001E","0x0045","0x0003","P","0x2820","0x0000","0x0001","0x00A2","0x1370","0x029E"
0x1E28210000,"0x0E5E","0x001E","0x0045","0x0004","P","0x2821","0x0000","0x0000","0x00A2","0x1335","0x1A0F"
0x1E28210100,"0x0E5F","0x001E","0x0045","0x0004","P","0x2821","0x0000","0x0001","0x00A2","0x1335","0x1A0F"
0x1E07510000,"0x0E60","0x001E","0x0046","0x0003","P","0x0751","0x0000","0x0000","0x0079","0x1336","0x1A31"
0x1E07510100,"0x0E61","0x001E","0x0046","0x0003","P","0x0751","0x0000","0x0001","0x0079","0x1336","0x1A31"
0x1E07520000,"0x0E62","0x001E","0x0046","0x0004","P","0x0752","0x0000","0x0000","0x007A","0x1337","0x1A35"
0x1E07520100,"0x0E63","0x001E","0x0046","0x0004","P","0x0752","0x0000","0x0001","0x007A","0x1337","0x1A35"
0x1E07560000,"0x0E64","0x001E","0x0047","0x0003","P","0x0756","0x0000","0x0000","0x007C","0x1338","0x1A63"
0x1E07560100,"0x0E65","0x001E","0x0047","0x0003","P","0x0756","0x0000","0x0001","0x007C","0x1338","0x1A63"
0x1E07570000,"0x0E66","0x001E","0x0047","0x0004","P","0x0757","0x0000","0x0000","0x007D","0x1339","0x1A6C"
0x1E07570100,"0x0E67","0x001E","0x0047","0x0004","P","0x0757","0x0000","0x0001","0x007D","0x1339","0x1A6C"
0x1E07610000,"0x0E68","0x001E","0x0048","0x0003","P","0x0761","0x0000","0x0000","0x007E","0x133A","0x1AB3"
0x1E07610100,"0x0E69","0x001E","0x0048","0x0003","P","0x0761","0x0000","0x0001","0x007E","0x133A","0x1AB3"
0x1E07620000,"0x0E6A","0x001E","0x0048","0x0004","P","0x0762","0x0000","0x0000","0x007F","0x133B","0x1AB9"
0x1E07620100,"0x0E6B","0x001E","0x0048","0x0004","P","0x0762","0x0000","0x0001","0x007F","0x133B","0x1AB9"
0x1E07660000,"0x0E6C","0x001E","0x0049","0x0003","P","0x0766","0x0000","0x0000","0x0080","0x133C","0x1AEB"
0x1E07660100,"0x0E6D","0x001E","0x0049","0x0003","P","0x0766","0x0000","0x0001","0x0080","0x133C","0x1AEB"
0x1E07670000,"0x0E6E","0x001E","0x0049","0x0004","P","0x0767","0x0000","0x0000","0x0081","0x133D","0x1AEE"
0x1E07670100,"0x0E6F","0x001E","0x0049","0x0004","P","0x0767","0x0000","0x0001","0x0081","0x133D","0x1AEE"
0x1E07710000,"0x0E70","0x001E","0x004A","0x0003","P","0x0771","0x0000","0x0000","0x0082","0x133E","0x1B14"
0x1E07710100,"0x0E71","0x001E","0x004A","0x0003","P","0x0771","0x0000","0x0001","0x0082","0x133E","0x1B14"
0x1E07720000,"0x0E72","0x001E","0x004A","0x0004","P","0x0772","0x0000","0x0000","0x0082","0x1371","0x02D4"
0x1E07720100,"0x0E73","0x001E","0x004A","0x0004","P","0x0772","0x0000","0x0001","0x0082","0x1371","0x02D4"
0x1E27230000,"0x0E74","0x001E","0x004B","0x0003","P","0x2723","0x0000","0x0000","0x03E7","0x145A","0x02D5"
0x1E27230100,"0x0E75","0x001E","0x004B","0x0003","P","0x2723","0x0000","0x0001","0x03E7","0x145A","0x02D5"
0x1E27240000,"0x0E76","0x001E","0x004B","0x0004","P","0x2724","0x0000","0x0000","0x0085","0x1372","0x02D6"
0x1E27240100,"0x0E77","0x001E","0x004B","0x0004","P","0x2724","0x0000","0x0001","0x0085","0x1372","0x02D6"
0x1E07460000,"0x0E78","0x001E","0x004C","0x0003","P","0x0746","0x0000","0x0000","0x0085","0x133F","0x1B67"
0x1E07460100,"0x0E79","0x001E","0x004C","0x0003","P","0x0746","0x0000","0x0001","0x0085","0x133F","0x1B67"
0x1E07470000,"0x0E7A","0x001E","0x004C","0x0004","P","0x0747","0x0000","0x0000","0x0086","0x1340","0x1B72"
0x1E07470100,"0x0E7B","0x001E","0x004C","0x0004","P","0x0747","0x0000","0x0001","0x0086","0x1340","0x1B72"
0x1E07760000,"0x0E7C","0x001E","0x004D","0x0003","P","0x0776","0x0000","0x0000","0x0088","0x1341","0x1B92"
0x1E07760100,"0x0E7D","0x001E","0x004D","0x0003","P","0x0776","0x0000","0x0001","0x0088","0x1341","0x1B92"
0x1E07770000,"0x0E7E","0x001E","0x004D","0x0004","P","0x0777","0x0000","0x0000","0x0089","0x1342","0x1B94"
0x1E07770100,"0x0E7F","0x001E","0x004D","0x0004","P","0x0777","0x0000","0x0001","0x0089","0x1342","0x1B94"
0x1E07960000,"0x0E80","0x001E","0x004E","0x0003","P","0x0796","0x0000","0x0000","0x008B","0x1343","0x1BA7"
0x1E07960100,"0x0E81","0x001E","0x004E","0x0003","P","0x0796","0x0000","0x0001","0x008B","0x1343","0x1BA7"
0x1E07970000,"0x0E82","0x001E","0x004E","0x0004","P","0x0797","0x0000","0x0000","0x008C","0x1344","0x1BA9"
0x1E07970100,"0x0E83","0x001E","0x004E","0x0004","P","0x0797","0x0000","0x0001","0x008C","0x1344","0x1BA9"
0x1E27140000,"0x0E84","0x001E","0x004F","0x0003","P","0x2714","0x0000","0x0000","0x00A3","0x1345","0x1BB4"
0x1E27140100,"0x0E85","0x001E","0x004F","0x0003","P","0x2714","0x0000","0x0001","0x00A3","0x1345","0x1BB4"
0x1E27150000,"0x0E86","0x001E","0x004F","0x0004","P","0x2715","0x0000","0x0000","0x00A3","0x1373","0x02D7"
0x1E27150100,"0x0E87","0x001E","0x004F","0x0004","P","0x2715","0x0000","0x0001","0x00A3","0x1373","0x02D7"
0x1E27290000,"0x0E88","0x001E","0x0051","0x0003","P","0x2729","0x0000","0x0000","0x00A3","0x1374","0x02F5"
0x1E27290100,"0x0E89","0x001E","0x0051","0x0003","P","0x2729","0x0000","0x0001","0x00A3","0x1374","0x02F5"
0x1E27300000,"0x0E8A","0x001E","0x0051","0x0004","P","0x2730","0x0000","0x0000","0x00A3","0x1375","0x02F6"
0x1E27300100,"0x0E8B","0x001E","0x0051","0x0004","P","0x2730","0x0000","0x0001","0x00A3","0x1375","0x02F6"
0x1E28330000,"0x0E8C","0x001E","0x0052","0x0003","P","0x2833","0x0000","0x0000","0x00A4","0x1376","0x02F7"
0x1E28330100,"0x0E8D","0x001E","0x0052","0x0003","P","0x2833","0x0000","0x0001","0x00A4","0x1376","0x02F7"
0x1E28340000,"0x0E8E","0x001E","0x0052","0x0004","P","0x2834","0x0000","0x0000","0x00A4","0x1377","0x02F8"
0x1E28340100,"0x0E8F","0x001E","0x0052","0x0004","P","0x2834","0x0000","0x0001","0x00A4","0x1377","0x02F8"
0x1E28320000,"0x0E90","0x001E","0x0052","0x0005","P","0x2832","0x0000","0x0000","0x00A4","0x1378","0x02F9"
0x1E28320100,"0x0E91","0x001E","0x0052","0x0005","P","0x2832","0x0000","0x0001","0x00A4","0x1378","0x02F9"
0x1E28450000,"0x0E92","0x001E","0x0052","0x0009","P","0x2845","0x0000","0x0000","0x00A4","0x1379","0x02FA"
0x1E28450100,"0x0E93","0x001E","0x0052","0x0009","P","0x2845","0x0000","0x0001","0x00A4","0x1379","0x02FA"
0x1E28380000,"0x0E94","0x001E","0x0053","0x0003","P","0x2838","0x0000","0x0000","0x00A4","0x137A","0x02FB"
0x1E28380100,"0x0E95","0x001E","0x0053","0x0003","P","0x2838","0x0000","0x0001","0x00A4","0x137A","0x02FB"
0x1E28390000,"0x0E96","0x001E","0x0053","0x0004","P","0x2839","0x0000","0x0000","0x00A4","0x137B","0x02FC"
0x1E28390100,"0x0E97","0x001E","0x0053","0x0004","P","0x2839","0x0000","0x0001","0x00A4","0x137B","0x02FC"
0x1E28370000,"0x0E98","0x001E","0x0053","0x0005","P","0x2837","0x0000","0x0000","0x00A4","0x137C","0x02FD"
0x1E28370100,"0x0E99","0x001E","0x0053","0x0005","P","0x2837","0x0000","0x0001","0x00A4","0x137C","0x02FD"
0x1E28460000,"0x0E9A","0x001E","0x0053","0x0009","P","0x2846","0x0000","0x0000","0x00A4","0x137D","0x02FE"
0x1E28460100,"0x0E9B","0x001E","0x0053","0x0009","P","0x2846","0x0000","0x0001","0x00A4","0x137D","0x02FE"
0x1E283D0000,"0x0E9C","0x001E","0x0054","0x0003","P","0x283D","0x0000","0x0000","0x00A4","0x137E","0x02FF"
0x1E283D0100,"0x0E9D","0x001E","0x0054","0x0003","P","0x283D","0x0000","0x0001","0x00A4","0x137E","0x02FF"
0x1E283E0000,"0x0E9E","0x001E","0x0054","0x0004","P","0x283E","0x0000","0x0000","0x00A4","0x137F","0x0300"
0x1E283E0100,"0x0E9F","0x001E","0x0054","0x0004","P","0x283E","0x0000","0x0001","0x00A4","0x137F","0x0300"
0x1E283C0000,"0x0EA0","0x001E","0x0054","0x0005","P","0x283C","0x0000","0x0000","0x00A4","0x1380","0x0301"
0x1E283C0100,"0x0EA1","0x001E","0x0054","0x0005","P","0x283C","0x0000","0x0001","0x00A4","0x1380","0x0301"
0x1E28470000,"0x0EA2","0x001E","0x0054","0x0009","P","0x2847","0x0000","0x0000","0x00A4","0x1381","0x0302"
0x1E28470100,"0x0EA3","0x001E","0x0054","0x0009","P","0x2847","0x0000","0x0001","0x00A4","0x1381","0x0302"
0x1E28420000,"0x0EA4","0x001E","0x0055","0x0003","P","0x2842","0x0000","0x0000","0x00A4","0x1382","0x0303"
0x1E28420100,"0x0EA5","0x001E","0x0055","0x0003","P","0x2842","0x0000","0x0001","0x00A4","0x1382","0x0303"
0x1E28430000,"0x0EA6","0x001E","0x0055","0x0004","P","0x2843","0x0000","0x0000","0x00A4","0x1383","0x0304"
0x1E28430100,"0x0EA7","0x001E","0x0055","0x0004","P","0x2843","0x0000","0x0001","0x00A4","0x1383","0x0304"
0x1E28410000,"0x0EA8","0x001E","0x0055","0x0005","P","0x2841","0x0000","0x0000","0x00A4","0x1384","0x0305"
0x1E28410100,"0x0EA9","0x001E","0x0055","0x0005","P","0x2841","0x0000","0x0001","0x00A4","0x1384","0x0305"
0x1E28480000,"0x0EAA","0x001E","0x0055","0x0009","P","0x2848","0x0000","0x0000","0x00A4","0x1385","0x0306"
0x1E28480100,"0x0EAB","0x001E","0x0055","0x0009","P","0x2848","0x0000","0x0001","0x00A4","0x1385","0x0306"
0x1E09000000,"0x0EAC","0x001E","0x0056","0x0001","P","0x0900","0x0000","0x0000","0x0056","0x0F0D","0x0307"
0x1E09000100,"0x0EAD","0x001E","0x0056","0x0001","P","0x0900","0x0000","0x0001","0x0056","0x0F0D","0x0307"
0x1E09020000,"0x0EAE","0x001E","0x0056","0x0003","P","0x0902","0x0000","0x0000","0x0056","0x0F0E","0x0308"
0x1E09020100,"0x0EAF","0x001E","0x0056","0x0003","P","0x0902","0x0000","0x0001","0x0056","0x0F0E","0x0308"
0x1E09030000,"0x0EB0","0x001E","0x0056","0x0004","P","0x0903","0x0000","0x0000","0x0056","0x0F0F","0x0309"
0x1E09030100,"0x0EB1","0x001E","0x0056","0x0004","P","0x0903","0x0000","0x0001","0x0056","0x0F0F","0x0309"
0x1E09010000,"0x0EB2","0x001E","0x0056","0x0005","P","0x0901","0x0000","0x0000","0x0056","0x0F10","0x030A"
0x1E09010100,"0x0EB3","0x001E","0x0056","0x0005","P","0x0901","0x0000","0x0001","0x0056","0x0F10","0x030A"
0x1E090A0000,"0x0EB4","0x001E","0x0057","0x0001","P","0x090A","0x0000","0x0000","0x0057","0x0F11","0x030B"
0x1E090A0100,"0x0EB5","0x001E","0x0057","0x0001","P","0x090A","0x0000","0x0001","0x0057","0x0F11","0x030B"
0x1E090C0000,"0x0EB6","0x001E","0x0057","0x0003","P","0x090C","0x0000","0x0000","0x0057","0x0F12","0x030C"
0x1E090C0100,"0x0EB7","0x001E","0x0057","0x0003","P","0x090C","0x0000","0x0001","0x0057","0x0F12","0x030C"
0x1E090D0000,"0x0EB8","0x001E","0x0057","0x0004","P","0x090D","0x0000","0x0000","0x0057","0x0F13","0x030D"
0x1E090D0100,"0x0EB9","0x001E","0x0057","0x0004","P","0x090D","0x0000","0x0001","0x0057","0x0F13","0x030D"
0x1E090B0000,"0x0EBA","0x001E","0x0057","0x0005","P","0x090B","0x0000","0x0000","0x0057","0x0F14","0x030E"
0x1E090B0100,"0x0EBB","0x001E","0x0057","0x0005","P","0x090B","0x0000","0x0001","0x0057","0x0F14","0x030E"
0x1E03350000,"0x0EBC","0x001E","0x0058","0x0002","P","0x0335","0x0000","0x0000","0x008D","0x1346","0x1D0C"
0x1E03350100,"0x0EBD","0x001E","0x0058","0x0002","P","0x0335","0x0000","0x0001","0x008D","0x1346","0x1D0C"
0x1E03390000,"0x0EBE","0x001E","0x0058","0x0006","P","0x0339","0x0000","0x0000","0x008E","0x1347","0x1D13"
0x1E03390100,"0x0EBF","0x001E","0x0058","0x0006","P","0x0339","0x0000","0x0001","0x008E","0x1347","0x1D13"
0x1E03650000,"0x0EC0","0x001E","0x0059","0x0002","P","0x0365","0x0000","0x0000","0x008F","0x1348","0x1D1E"
0x1E03650100,"0x0EC1","0x001E","0x0059","0x0002","P","0x0365","0x0000","0x0001","0x008F","0x1348","0x1D1E"
0x1E03690000,"0x0EC2","0x001E","0x0059","0x0006","P","0x0369","0x0000","0x0000","0x0090","0x1349","0x1D21"
0x1E03690100,"0x0EC3","0x001E","0x0059","0x0006","P","0x0369","0x0000","0x0001","0x0090","0x1349","0x1D21"
0x1E175A0000,"0x0EC4","0x001E","0x0060","0x0001","P","0x175A","0x0000","0x0000","0x0060","0x0F15","0x0330"
0x1E175A0100,"0x0EC5","0x001E","0x0060","0x0001","P","0x175A","0x0000","0x0001","0x0060","0x0F15","0x0330"
0x1E175B0000,"0x0EC6","0x001E","0x0060","0x0002","P","0x175B","0x0000","0x0000","0x0060","0x0F16","0x0331"
0x1E175B0100,"0x0EC7","0x001E","0x0060","0x0002","P","0x175B","0x0000","0x0001","0x0060","0x0F16","0x0331"
0x1E17600000,"0x0EC8","0x001E","0x0062","0x0001","P","0x1760","0x0000","0x0000","0x0062","0x0F17","0x0333"
0x1E17600100,"0x0EC9","0x001E","0x0062","0x0001","P","0x1760","0x0000","0x0001","0x0062","0x0F17","0x0333"
0x1E17610000,"0x0ECA","0x001E","0x0062","0x0002","P","0x1761","0x0000","0x0000","0x0062","0x0F18","0x0334"
0x1E17610100,"0x0ECB","0x001E","0x0062","0x0002","P","0x1761","0x0000","0x0001","0x0062","0x0F18","0x0334"
0x1E16C00000,"0x0ECC","0x001E","0x0063","0x0001","P","0x16C0","0x0000","0x0000","0x0091","0x134A","0x1DEA"
0x1E16C00100,"0x0ECD","0x001E","0x0063","0x0001","P","0x16C0","0x0000","0x0001","0x0091","0x134A","0x1DEA"
0x1E06020000,"0x0ECE","0x001E","0x0063","0x0002","P","0x0602","0x0000","0x0000","0x03E7","0x1436","0x0335"
0x1E06020100,"0x0ECF","0x001E","0x0063","0x0002","P","0x0602","0x0000","0x0001","0x03E7","0x1436","0x0335"
0x1EC0280000,"0x0ED0","0x001E","0x006B","0x0001","U","0x0028","0x0000","0x0000","0x0092","0x134B","0x0420"
0x1EC0280100,"0x0ED1","0x001E","0x006B","0x0001","U","0x0028","0x0000","0x0001","0x0092","0x134B","0x0420"
0x1EC1550000,"0x0ED2","0x001E","0x006B","0x0003","U","0x0155","0x0000","0x0000","0x0093","0x134C","0x0428"
0x1EC1550100,"0x0ED3","0x001E","0x006B","0x0003","U","0x0155","0x0000","0x0001","0x0093","0x134C","0x0428"
0x1EC1220000,"0x0ED4","0x001E","0x006B","0x0004","U","0x0122","0x0000","0x0000","0x0094","0x134D","0x042A"
0x1EC1220100,"0x0ED5","0x001E","0x006B","0x0004","U","0x0122","0x0000","0x0001","0x0094","0x134D","0x042A"
0x1EC1040000,"0x0ED6","0x001E","0x006B","0x0006","U","0x0104","0x0000","0x0000","0x0095","0x134E","0x042D"
0x1EC1040100,"0x0ED7","0x001E","0x006B","0x0006","U","0x0104","0x0000","0x0001","0x0095","0x134E","0x042D"
0x1EC1210000,"0x0ED8","0x001E","0x006B","0x0007","U","0x0121","0x0000","0x0000","0x0096","0x134F","0x042F"
0x1EC1210100,"0x0ED9","0x001E","0x006B","0x0007","U","0x0121","0x0000","0x0001","0x0096","0x134F","0x042F"
0x1EC0290000,"0x0EDA","0x001E","0x006B","0x000C","U","0x0029","0x0000","0x0000","0x0097","0x1350","0x041B"
0x1EC0290100,"0x0EDB","0x001E","0x006B","0x000C","U","0x0029","0x0000","0x0001","0x0097","0x1350","0x041B"
0x1EC1230000,"0x0EDC","0x001E","0x006B","0x000D","U","0x0123","0x0000","0x0000","0x03E7","0x14A4","0x041C"
0x1EC1230100,"0x0EDD","0x001E","0x006B","0x000D","U","0x0123","0x0000","0x0001","0x03E7","0x14A4","0x041C"
0x1E28170000,"0x0EDE","0x001E","0x006C","0x0003","P","0x2817","0x0000","0x0000","0x03E7","0x1460","0x0444"
0x1E28170100,"0x0EDF","0x001E","0x006C","0x0003","P","0x2817","0x0000","0x0001","0x03E7","0x1460","0x0444"
0x1E28180000,"0x0EE0","0x001E","0x006C","0x0004","P","0x2818","0x0000","0x0000","0x006C","0x0F19","0x0445"
0x1E28180100,"0x0EE1","0x001E","0x006C","0x0004","P","0x2818","0x0000","0x0001","0x006C","0x0F19","0x0445"
0x1E27970000,"0x0EE2","0x001E","0x0072","0x0002","P","0x2797","0x0000","0x0000","0x0098","0x1351","0x0509"
0x1E27970100,"0x0EE3","0x001E","0x0072","0x0002","P","0x2797","0x0000","0x0001","0x0098","0x1351","0x0509"
0x1E19000000,"0x0EE4","0x001E","0x0073","0x0007","P","0x1900","0x0000","0x0000","0x0098","0x1352","0x0525"
0x1E19000100,"0x0EE5","0x001E","0x0073","0x0007","P","0x1900","0x0000","0x0001","0x0098","0x1352","0x0525"
0x1ED2600000,"0x0EE6","0x001E","0x0074","0x0003","U","0x1260","0x0000","0x0000","0x0098","0x1353","0x053D"
0x1ED2600100,"0x0EE7","0x001E","0x0074","0x0003","U","0x1260","0x0000","0x0001","0x0098","0x1353","0x053D"
0x1E07B30000,"0x0EE8","0x001E","0x0077","0x0003","P","0x07B3","0x0000","0x0000","0x0077","0x0F1A","0x0575"
0x1E07B30100,"0x0EE9","0x001E","0x0077","0x0003","P","0x07B3","0x0000","0x0001","0x0077","0x0F1A","0x0575"
0x1E07B40000,"0x0EEA","0x001E","0x0077","0x0004","P","0x07B4","0x0000","0x0000","0x0077","0x0F1B","0x0576"
0x1E07B40100,"0x0EEB","0x001E","0x0077","0x0004","P","0x07B4","0x0000","0x0001","0x0077","0x0F1B","0x0576"
0x1E07BE0000,"0x0EEC","0x001E","0x0077","0x0005","P","0x07BE","0x0000","0x0000","0x0077","0x0F1C","0x0577"
0x1E07BE0100,"0x0EED","0x001E","0x0077","0x0005","P","0x07BE","0x0000","0x0001","0x0077","0x0F1C","0x0577"
0x1E07B90000,"0x0EEE","0x001E","0x0077","0x0007","P","0x07B9","0x0000","0x0000","0x0077","0x0F1D","0x0578"
0x1E07B90100,"0x0EEF","0x001E","0x0077","0x0007","P","0x07B9","0x0000","0x0001","0x0077","0x0F1D","0x0578"
0x1E07BA0000,"0x0EF0","0x001E","0x0077","0x0008","P","0x07BA","0x0000","0x0000","0x0077","0x0F1E","0x0579"
0x1E07BA0100,"0x0EF1","0x001E","0x0077","0x0008","P","0x07BA","0x0000","0x0001","0x0077","0x0F1E","0x0579"
0x1EC0470000,"0x0EF2","0x001E","0x0079","0x0001","U","0x0047","0x0000","0x0000","0x009C","0x1354","0x0606"
0x1EC0470100,"0x0EF3","0x001E","0x0079","0x0001","U","0x0047","0x0000","0x0001","0x009C","0x1354","0x0606"
0x1ED2620000,"0x0EF4","0x001E","0x0079","0x0002","U","0x1262","0x0000","0x0000","0x009D","0x1355","0x060D"
0x1ED2620100,"0x0EF5","0x001E","0x0079","0x0002","U","0x1262","0x0000","0x0001","0x009D","0x1355","0x060D"
0x1E084F0000,"0x0EF6","0x001E","0x007A","0x0005","P","0x084F","0x0000","0x0000","0x007A","0x0F1F","0x0626"
0x1E084F0100,"0x0EF7","0x001E","0x007A","0x0005","P","0x084F","0x0000","0x0001","0x007A","0x0F1F","0x0626"
0x1E172A0000,"0x0EF8","0x001E","0x007B","0x0005","P","0x172A","0x0000","0x0000","0x007B","0x0F20","0x0644"
0x1E172A0100,"0x0EF9","0x001E","0x007B","0x0005","P","0x172A","0x0000","0x0001","0x007B","0x0F20","0x0644"
0x1E172B0000,"0x0EFA","0x001E","0x007C","0x0005","P","0x172B","0x0000","0x0000","0x007C","0x0F21","0x0662"
0x1E172B0100,"0x0EFB","0x001E","0x007C","0x0005","P","0x172B","0x0000","0x0001","0x007C","0x0F21","0x0662"
0x1E03850000,"0x0EFC","0x001E","0x007D","0x0002","P","0x0385","0x0000","0x0000","0x0098","0x1356","0x067F"
0x1E03850100,"0x0EFD","0x001E","0x007D","0x0002","P","0x0385","0x0000","0x0001","0x0098","0x1356","0x067F"
0x1E03890000,"0x0EFE","0x001E","0x007D","0x0006","P","0x0389","0x0000","0x0000","0x0099","0x1357","0x0683"
0x1E03890100,"0x0EFF","0x001E","0x007D","0x0006","P","0x0389","0x0000","0x0001","0x0099","0x1357","0x0683"
0x1E03400000,"0x0F00","0x001E","0x007E","0x0002","P","0x0340","0x0000","0x0000","0x009A","0x1358","0x069A"
0x1E03400100,"0x0F01","0x001E","0x007E","0x0002","P","0x0340","0x0000","0x0001","0x009A","0x1358","0x069A"
0x1E03440000,"0x0F02","0x001E","0x007E","0x0006","P","0x0344","0x0000","0x0000","0x009B","0x1359","0x069F"
0x1E03440100,"0x0F03","0x001E","0x007E","0x0006","P","0x0344","0x0000","0x0001","0x009B","0x1359","0x069F"
0x1E26C30000,"0x0F04","0x001E","0x007F","0x0005","P","0x26C3","0x0000","0x0000","0x007F","0x0F22","0x06AA"
0x1E26C30100,"0x0F05","0x001E","0x007F","0x0005","P","0x26C3","0x0000","0x0001","0x007F","0x0F22","0x06AA"
0x1EC3020000,"0x0F06","0x001E","0x0081","0x0002","U","0x0302","0x0000","0x0000","0x03E7","0x14A5","0x06D9"
0x1EC3020100,"0x0F07","0x001E","0x0081","0x0002","U","0x0302","0x0000","0x0001","0x03E7","0x14A5","0x06D9"
0x1E179A0000,"0x0F08","0x001E","0x008A","0x0008","P","0x179A","0x0000","0x0000","0x009E","0x135A","0x078C"
0x1E179A0100,"0x0F09","0x001E","0x008A","0x0008","P","0x179A","0x0000","0x0001","0x009E","0x135A","0x078C"
0x1E08820000,"0x0F0A","0x001E","0x008B","0x0003","P","0x0882","0x0000","0x0000","0x008B","0x0F23","0x079A"
0x1E08820100,"0x0F0B","0x001E","0x008B","0x0003","P","0x0882","0x0000","0x0001","0x008B","0x0F23","0x079A"
0x1E09100000,"0x0F0C","0x001E","0x008C","0x0001","P","0x0910","0x0000","0x0000","0x008C","0x0F24","0x07DE"
0x1E09100100,"0x0F0D","0x001E","0x008C","0x0001","P","0x0910","0x0000","0x0001","0x008C","0x0F24","0x07DE"
0x1E09120000,"0x0F0E","0x001E","0x008C","0x0003","P","0x0912","0x0000","0x0000","0x008C","0x0F25","0x07DF"
0x1E09120100,"0x0F0F","0x001E","0x008C","0x0003","P","0x0912","0x0000","0x0001","0x008C","0x0F25","0x07DF"
0x1E09130000,"0x0F10","0x001E","0x008C","0x0004","P","0x0913","0x0000","0x0000","0x008C","0x0F26","0x07E0"
